"id","title","area","region","extended","lon","lat"
1513077,"Инженерное / Жовтневое","Херсон город","Херсонська область","Инженерное / Жовтневое Херсон город",32.6891732,46.7038908
1512793,"Ищенка","Великоолександрівський район","Херсонська область","Ищенка Великоолександрівський район",33.2508101,47.1794385
1512718,"Казацкое","Бериславський район","Херсонська область","Казацкое Бериславський район",33.3340572,46.7870421
1512917,"Казачьи Лагеря","Горностаївський район","Херсонська область","Казачьи Лагеря Горностаївський район",34.0479241,46.9435577
1513091,"Казачьи Лагеря","Олешківський / Цюрупинський район","Херсонська область","Казачьи Лагеря Олешківський / Цюрупинський район",32.9830503,46.7064434
1512918,"Каиры","Горностаївський район","Херсонська область","Каиры Горностаївський район",33.7030068,46.9428501
16847,"Каланчак","Каланчацький район","Херсонська область","Каланчак Каланчацький район",33.2989663,46.2559467
1512965,"Калиновка","Каховський район","Херсонська область","Калиновка Каховський район",33.7779855,46.6577322
1512794,"Калиновское / Калининское","Великоолександрівський район","Херсонська область","Калиновское / Калининское Великоолександрівський район",32.983505,47.1134801
1512966,"Каменка","Каховський район","Херсонська область","Каменка Каховський район",33.4577654,46.7083448
1513115,"Камыш","Чаплинський район","Херсонська область","Камыш Чаплинський район",33.95081,46.4425117
1513061,"Карабулат / Ленинское","Скадовський район","Херсонська область","Карабулат / Ленинское Скадовський район",32.7807044,46.3103865
1512894,"Кардашинка","Голопристанський район","Херсонська область","Кардашинка Голопристанський район",32.6182706,46.5542529
1512795,"Карьерное","Великоолександрівський район","Херсонська область","Карьерное Великоолександрівський район",33.2122342,47.3413055
1512778,"Катериновка","Великолепетиський район","Херсонська область","Катериновка Великолепетиський район",34.1627694,47.1119531
3763,"Каховка","Каховський район","Херсонська область","Каховка Каховський район",33.6837268,46.6959383
1512719,"Качкаровка","Бериславський район","Херсонська область","Качкаровка Бериславський район",33.747025,47.0978133
1512752,"Кизомис","Білозерський район","Херсонська область","Кизомис Білозерський район",32.3434228,46.5623939
1512753,"Кирово","Білозерський район","Херсонська область","Кирово Білозерський район",32.1024561,46.7268153
1512754,"Киселевка","Білозерський район","Херсонська область","Киселевка Білозерський район",32.4096737,46.7551837
1513092,"Клины","Олешківський / Цюрупинський район","Херсонська область","Клины Олешківський / Цюрупинський район",33.045708,46.4071281
1512779,"Князе-Григоровка","Великолепетиський район","Херсонська область","Князе-Григоровка Великолепетиський район",33.8548763,47.1152814
